ip,asn,city,region,country,loc
103.45.154.103,"{'asn': 'AS63612', 'name': 'Shenzhen Qianhai bird cloud computing Co. Ltd.', 'domain': 'cnnic.cn', 'route': '103.45.154.0/24', 'type': 'hosting'}",Zhangjiakou,Hebei,CN,"40.7834,114.8714"
211.86.1.183,"{'asn': 'AS4538', 'name': 'China Education and Research Network Center', 'domain': 'cernet.edu.cn', 'route': '211.86.0.0/21', 'type': 'education'}",Haidian,Beijing,CN,"39.9906,116.2887"
113.141.187.7,"{'asn': 'AS134768', 'name': 'CHINANET SHAANXI province Cloud Base network', 'domain': 'chinatelecom.cn', 'route': '113.141.160.0/19', 'type': 'isp'}",Xi’an,Shaanxi,CN,"34.2583,108.9286"
27.36.125.151,"{'asn': 'AS136959', 'name': 'China Unicom Guangdong IP network', 'domain': 'chinaunicom.cn', 'route': '27.36.125.0/24', 'type': 'isp'}",Foshan,Guangdong,CN,"23.0268,113.1315"
180.201.97.54,"{'asn': 'AS4538', 'name': 'China Education and Research Network Center', 'domain': 'cernet.edu.cn', 'route': '180.201.96.0/20', 'type': 'education'}",Haidian,Beijing,CN,"39.9906,116.2887"
8.139.62.60,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '8.139.0.0/17', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
211.152.43.101,"{'asn': 'AS4811', 'name': 'China Telecom (Group)', 'domain': 'chinatelecom.com.cn', 'route': '211.152.40.0/21', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
103.94.98.86,"{'asn': 'AS9875', 'name': 'PT. Pasifik Satelit Nusantara', 'domain': 'psn.co.id', 'route': '103.94.98.0/24', 'type': 'isp'}",Gubukjero Timuk,West Nusa Tenggara,ID,"-8.5605,116.4792"
119.0.127.178,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '119.0.0.0/15', 'type': 'isp'}",Guiyang,Guizhou,CN,"26.5833,106.7167"
119.23.85.207,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '119.23.0.0/17', 'type': 'business'}",Shenzhen,Guangdong,CN,"22.5455,114.0683"
124.236.97.149,"{'asn': 'AS134760', 'name': 'Shijiazhuang IDC network, CHINANET Hebei province', 'domain': 'chinatelecom.cn', 'route': '124.236.0.0/17', 'type': 'isp'}",Shijiazhuang,Hebei,CN,"38.0414,114.4786"
8.146.245.4,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '8.146.0.0/15', 'type': 'business'}",Beijing,Beijing,CN,"39.9075,116.3972"
101.67.12.150,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '101.67.0.0/16', 'type': 'isp'}",Jiaxing,Zhejiang,CN,"30.7522,120.7500"
103.45.129.247,"{'asn': 'AS63612', 'name': 'Shenzhen Qianhai bird cloud computing Co. Ltd.', 'domain': 'cnnic.cn', 'route': '103.45.129.0/24', 'type': 'hosting'}",Zhangjiakou,Hebei,CN,"40.7834,114.8714"
47.96.194.43,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '47.96.0.0/16', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
8.146.175.127,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '8.146.0.0/15', 'type': 'business'}",Beijing,Beijing,CN,"39.9075,116.3972"
103.59.151.214,"{'asn': 'AS4847', 'name': 'China Networks Inter-Exchange', 'domain': 'bta.net.cn', 'route': '103.59.150.0/23', 'type': 'isp'}",Beijing,Beijing,CN,"39.9075,116.3972"
115.155.182.202,"{'asn': 'AS4538', 'name': 'China Education and Research Network Center', 'domain': 'cernet.edu.cn', 'route': '115.155.176.0/20', 'type': 'education'}",Haidian,Beijing,CN,"39.9906,116.2887"
210.73.61.67,"{'asn': 'AS7497', 'name': 'Computer Network Information Center of Chinese Academy of Sciences (CNIC-CAS)', 'domain': 'cnic.cn', 'route': '210.73.61.0/24', 'type': 'education'}",Beijing,Beijing,CN,"39.9075,116.3972"
8.139.51.57,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '8.139.0.0/17', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
202.110.217.150,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '202.110.192.0/18', 'type': 'isp'}",Weihai,Shandong,CN,"37.5091,122.1136"
103.56.61.227,"{'asn': 'AS4837', 'name': 'CHINA UNICOM China169 Backbone', 'domain': 'chinaunicom.cn', 'route': '103.56.60.0/22', 'type': 'isp'}",Zhenjiang,Jiangsu,CN,"32.2109,119.4551"
124.248.69.28,"{'asn': 'AS58461', 'name': 'CT-HangZhou-IDC', 'domain': 'chinatelecom.cn', 'route': '124.248.64.0/18', 'type': 'hosting'}",Shaoxing,Zhejiang,CN,"30.0024,120.5786"
121.239.93.155,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '121.224.0.0/12', 'type': 'isp'}",Nanjing,Jiangsu,CN,"32.0617,118.7778"
118.184.158.38,"{'asn': 'AS23650', 'name': 'AS Number for CHINANET jiangsu province backbone', 'domain': 'rtat.net', 'route': '118.184.128.0/17', 'type': 'hosting'}",Changzhou,Jiangsu,CN,"31.7736,119.9540"
103.45.100.52,"{'asn': 'AS63612', 'name': 'Shenzhen Qianhai bird cloud computing Co. Ltd.', 'domain': 'cnnic.cn', 'route': '103.45.100.0/24', 'type': 'hosting'}",Zhangjiakou,Hebei,CN,"40.7834,114.8714"
180.201.101.226,"{'asn': 'AS4538', 'name': 'China Education and Research Network Center', 'domain': 'cernet.edu.cn', 'route': '180.201.96.0/20', 'type': 'education'}",Haidian,Beijing,CN,"39.9906,116.2887"
114.255.128.144,"{'asn': 'AS4808', 'name': 'China Unicom Beijing Province Network', 'domain': 'chinaunicom.cn', 'route': '114.255.128.0/18', 'type': 'isp'}",Beijing,Beijing,CN,"39.9075,116.3972"
8.139.74.130,"{'asn': 'AS37963', 'name': 'Hangzhou Alibaba Advertising Co.,Ltd.', 'domain': 'alibabagroup.com', 'route': '8.139.0.0/17', 'type': 'business'}",Hangzhou,Zhejiang,CN,"30.2936,120.1614"
222.186.174.90,"{'asn': 'AS4134', 'name': 'CHINANET-BACKBONE', 'domain': 'chinatelecom.com.cn', 'route': '222.184.0.0/13', 'type': 'isp'}",Shanghai,Shanghai,CN,"31.2222,121.4581"
103.138.55.178,"{'asn': 'AS9875', 'name': 'PT. Pasifik Satelit Nusantara', 'domain': 'psn.co.id', 'route': '103.138.54.0/23', 'type': 'isp'}",Gunung,East Java,ID,"-7.0148,113.5819"
