Domain,Name Server,Provider,Count
globalconnect.se,"ns1.eurodns.com.,ns2.eurodns.com.,ns3.eurodns.com.,ns4.eurodns.com.","NUCDN-ARIN-4,NUCDN-ARIN-1,NUCDN-ARIN-4,NUCDN-ARIN-1",1
bredband2.com,"lee.ns.cloudflare.com.,olga.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
aminidc.com,"ns1.aminidc.com.,ns2.aminidc.com.,ns3.aminidc.com.,ns4.aminidc.com.","Amin-IDC-Network,Amin-IDC-Network,CLOUD-FSN1,Amin-IDC-Network",1
hgc-intl.com,"dnshost1.on-nets.com.,dnshost2.on-nets.com.","HGCGLOBAL-HK,HGCGLOBAL-HK",1
prtcnet.com,"NS2.prtcom.com.,ns1.prtcom.com.","PRTC-LAURENS-IP-BLOCK-1,PRTC-LAURENS-IP-BLOCK-1",1
vodafone.it,"ns1.vodafone.com.,ns3.vodafone.com.,ns5.vodafone.com.","VODAFONE-IP-SERVICE,VODAFONE-IP-SERVICE,VODAFONE-IP-SERVICE",1
simbafiber.co.zm,"ns1.jcpbusiness.com.,ns2.jcpbusiness.com.","COLO4-BLK6,COLO4-BLK6",1
homesc.com,"ns-1206.awsdns-22.org.,ns-144.awsdns-18.com.,ns-1975.awsdns-54.co.uk.,ns-670.awsdns-19.net.","AMAZON-EC2,HTTP lookup failed for http://rdap.arin.net/registry/ip/205.251.192.144.,AMAZON-BYOIP,AMAZON-BYOIP",1
moratelindo.co.id,"ns1.cepat.net.id.,ns3.cepat.net.id.,ns4.cepat.net.id.","CEPATNET-ID,ID-MORATELINDONAP-NET-5,MORATELINDO-SERVER-FARM-JKT",1
lumen.com,"authns1.qwest.net.,authns2.qwest.net.","CENTURYLINK-LEGACY-QWEST-INET-8,CENTURYLINK-LEGACY-QWEST-INET-3",1
tm.com.my,"ns1.a0.impervasecuredns.net.,ns1.a1.impervasecuredns.net.","INCAPSULA-NETWORK,INCAPSULA-NETWORK",1
vtal.com,"ns03.vtal.com.br.,ns04.vtal.com.br.","HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.252.16 with error code 403.,HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.250.16 with error code 403.",1
cei.gov.cn,"ns1.cei.cn.,ns2.cei.cn.","DXTNET,DXTNET",4
monsternett.no,"ns1.monsternett.no.,ns2.monsternett.no.","MONSTERNETT,MONSTERNETT",1
topmso.com.tw,"ns1.topmso.com.tw.,ns2.topmso.com.tw.","tinp-net,tinp-net",1
free.fr,"freens1-g20.free.fr.,freens2-g20.free.fr.,freens3-scw.free.fr.","FR-PROXAD,FR-PROXAD,ONLINENET_DEDICATED_SERVERS",1
ais.co.th,"master01.csloxinfo.com.,master02.csloxinfo.com.,ns1.ais.co.th.,ns2.ais.co.th.","MASTER01-TH,csloxinfo-th,TH_AIS_Infrastructure,TH_AIS_Infrastructure",1
lumenet.com.mx,"ns1.lumenet-comunicaciones.com.,ns3.lumenet-comunicaciones.com.","45.6.140.0 - 45.6.143.255,45.6.140.0 - 45.6.143.255",1
jcntv.co.kr,"ns-1413.awsdns-48.org.,ns-1658.awsdns-15.co.uk.,ns-435.awsdns-54.com.,ns-873.awsdns-45.net.","AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-BYOIP",1
stratusiq.com,"ns1.stratusiq.com.,ns2.stratusiq.com.","STRATUSIQ,STRATUSIQ",1
svcpl.net.in,"ns53.domaincontrol.com.,ns54.domaincontrol.com.","GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",1
columbia.edu,"auth1.dns.cogentco.com.,auth2.dns.cogentco.com.,auth4.dns.cogentco.com.,auth5.dns.cogentco.com.,ext-ns1.columbia.edu.,ns1.lse.ac.uk.","COGENT-NB-0000,COGENT-NB-0000,COGENT-FR-CGNT,CGNT-ES-BACKBONE,CU-NET,LSE",1
