Domain,Name Server,Provider,Count
odido.nl,"ns1.openprovider.nl.,ns2.openprovider.be.,ns3.openprovider.eu.","CLOUDFLARENET,CLOUDFLARENET,CLOUDFLARENET",1
softbank.jp,"dns03.bbtec.net.,dns04.bbtec.net.,dns06.bbtec.net.","BBTEC,BBTEC,BBTEC",1
digitalocean.com,"kim.ns.cloudflare.com.,walt.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
altafocus.id,"ns01.cloudhost.id.,ns02.cloudhost.id.","CLOUDHOST-SG,IDNIC-IDCLOUDHOST-ID",1
skyfiberinternet.com,"brett.ns.cloudflare.com.,grace.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
altice.com.do,"blanche.altice.com.do.,rouge.altice.com.do.","190.124.65.0 - 190.124.65.255,190.124.66.0 - 190.124.66.255",1
sonic.com,"a.auth-ns.sonic.net.,b.auth-ns.sonic.net.,c.auth-ns.sonic.net.,d.auth-ns.sonic.net.","SNIC,SOFTLAYER-4-21,PACKET-HOST-139-178-64-0,US-PACKET-20200226",1
fibrenoire.ca,"ns-1085.awsdns-07.org.,ns-1908.awsdns-46.co.uk.,ns-193.awsdns-24.com.,ns-675.awsdns-20.net.","AMAZON-EC2,AMAZON-BYOIP,AMAZON-BYOIP,AMAZON-BYOIP",1
hinet.net,"ans1.hinet.net.,ans2.hinet.net.,ans3.hinet.tw.","HINET-NET,HINET-NET,HINET-NET",1
hargray.com,"ns1.cableone.net.,ns2.cableone.net.,ns3.cableone.net.,ns4.cableone.net.","CABLEONE,CABLEONE,MSFT,MSFT",1
verizonbusiness.com,"auth-ns1.verizonbusiness.com.,auth-ns2.verizonbusiness.com.,auth01.ns.uu.net.,auth200.ns.uu.net.,auth210.ns.uu.net.,auth50.ns.uu.net.,auth61.ns.uu.net.","MCI-CBLK,MCI-CBLK,NETBLK-UUNETCBLK4,UUNET-EURO-SERVER1,UUNET-EURO-SERVER1,NETBLK-UUNETCBLK4,NETBLK-UUNETCBLK4",1
gibir.net.tr,"hal.ns.cloudflare.com.,kiki.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
packet.com,"dns1.p01.nsone.net.,dns2.p01.nsone.net.,dns3.p01.nsone.net.,dns4.p01.nsone.net.","NSONE-DNS,NSONE-DNS,NSONE-DNS,NSONE-DNS",1
ishanitech.biz,"ns71.domaincontrol.com.,ns72.domaincontrol.com.","GO-DADDY-COM-LLC,GO-DADDY-COM-LLC",1
phonoscope.com,"ns1.phonoscope.com.,ns2.phonoscope.com.,ns3.phonoscope.com.","PHONOSCOPE-205-196-176-64,PHONOSCOPE-205-196-177-192,PHONOSCOPE-205-196-177-192",1
gigalinkhk.com,"ns1.hostingww.com.,ns2.hostingww.com.,ns3.hostingww.com.","AMAZO-4,AMAZO-4,AMAZO-4",1
vtal.com,"ns03.vtal.com.br.,ns04.vtal.com.br.","HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.252.16 with error code 403.,HTTP lookup failed for http://rdap.lacnic.net/rdap/ip/200.96.250.16 with error code 403.",4
serverclick.com,"dns1.serverclick.com.,dns2.serverclick.com.,ns1.serverclick.com.,ns2.serverclick.com.","RAHKAR-DC,RAHKAR-DC,Avabarid-DataCenter,Avabarid-DataCenter",1
metrored.com.mx,"leia.metrored.mx.,luke.metrored.mx.","189.204.0.0 - 189.204.127.255,189.204.0.0 - 189.204.127.255",1
win.pe,"dalary.ns.cloudflare.com.,jonah.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
macrolan.co.za,"ns1.macrolan.co.za.,ns2.macrolan.co.za.,ns3.macrolan.co.za.",,1
airtel.in,"aaadel.mantraonline.com.,dnsdel.mantraonline.com.","BHARTI-IN,BHARTI-IN",1
people.cn,"ns1.people.cn.,ns2.people.cn.,ns3.people.cn.,ns4.people.cn.,ns5.people.cn.","PELPLE-DAILY,People-Daily-Online,PEOPLENET,People-Daily-Online,PELPLE-DAILY",1
kinx.net,"6s.kinx.net.,bs.kinx.net.,fs.kinx.net.,ks.kinx.net.,ks2.kinx.net.,ns.kinx.net.","The DNS response does not contain an answer to the question: 6s.kinx.net. IN A,KINXINC-KR,KINXINC-KR,KINXINC-KR,broadNnet-KR,KINXINC-KR",1
nour.net.sa,"ns1.nour.net.sa.,ns2.nour.net.sa.","NOURNET-Infrastrucure,NOURNET-Infrastrucure",1
nessus.at,"ns1.nessus.at.,ns2.nessus.at.,ns3.nessus.at.","NESSUS-INFRA-DNS,AT-FONIRA,NESSUS-INFRA-NET",1
spadana.net,"ns.spadana.net.,ns5.spadana.net.","Panaone-Infra,Panaone-Infra",1
fifacorp.co.id,"tani.ns.cloudflare.com.,tanner.ns.cloudflare.com.","CLOUDFLARENET,CLOUDFLARENET",1
